Time (h) 2024-05-02T09.15.37.022;WT D1 OTR (mmol/L/h);WT D1 CTR (mmol/L/h);WT D1 integral OTR (mmol/L);WT D1 integral CTR (mmol/L);MT D2 OTR (mmol/L/h);MT D2 CTR (mmol/L/h);MT D2 integral OTR (mmol/L);MT D2 integral CTR (mmol/L);WTsample D3 OTR (mmol/L/h);WTsample D3 CTR (mmol/L/h);WTsample D3 integral OTR (mmol/L);WTsample D3 integral CTR (mmol/L);MTsample D4 OTR (mmol/L/h);MTsample D4 CTR (mmol/L/h);MTsample D4 integral OTR (mmol/L);MTsample D4 integral CTR (mmol/L)
0.50144;1.835881;0.248477;0.917941;0.124239;1.838807;0.166839;0.919404;0.083419;1.592179;0.202132;0.79609;0.101066;-0.504257;0.155281;-0.252129;0.077641
1.00287;0.629395;0.295952;1.232638;0.272214;0.810777;0.193604;1.324792;0.180221;0.582217;0.229879;1.087198;0.216005;0.61248;0.193618;0.054111;0.17445
1.50291;0.932373;0.361136;1.698825;0.452782;0.872802;0.240251;1.761193;0.300347;11.760652;0.489464;6.967524;0.460737;3.453096;0.041735;1.780659;0.195317
2.00436;0.272703;0.420697;1.835177;0.663131;0.276304;0.279681;1.899345;0.440187;0.490455;0.423011;7.212752;0.672243;1.109371;0.270992;2.335345;0.330813
2.50441;0.683809;0.491398;2.177081;0.90883;0.712621;0.324586;2.255655;0.60248;52.885879;29.64728;33.655691;15.495882;3.477111;2.656901;4.0739;1.659263
3.00586;0.399856;0.589698;2.377009;1.203679;0.090574;0.398213;2.300942;0.801586;0.346679;0.580669;33.829031;15.786217;0.051502;0.368143;4.099651;1.843335
3.50591;0.198867;0.697104;2.476443;1.552231;0.317345;0.482313;2.459615;1.042743;0.589701;0.655431;34.123881;16.113933;2.202885;0.443887;5.201094;2.065278
4.00598;1.478161;0.887075;3.215523;1.995769;1.576742;0.614644;3.247986;1.350065;8.543628;1.382409;38.395695;16.805137;4.659766;3.403944;7.530977;3.767251
4.50743;0.132373;0.981806;3.28171;2.486672;0.152332;0.686883;3.324152;1.693507;0.250855;0.53215;38.521122;17.071213;0.476065;0.943891;7.769009;4.239196
5.00753;-0.158567;1.205194;3.202426;3.089269;-0.201513;0.82202;3.223395;2.104517;0.517317;1.059727;38.779781;17.601076;-0.927432;0.693217;7.305293;4.585805
5.50898;-0.238768;1.426693;3.083042;3.802615;0.045412;1.029008;3.246101;2.619021;-7.631537;-0.015604;34.964013;17.593274;2.292892;-0.03813;8.451739;4.56674
